shots,MAML,ProtoNe,MetaOp,Baseline,STARTUP,AdaBN,BMS
1-shot,,,,45.82,48.89,45.67,48.92
5-shot,53.34,54.18,54.18,60.5,62.37,61.21,62.44
20-shot,62.89,62.5,59.25,67.91,69.65,68.82,69.71
50-shot,,,,71.32,72.88,71.95,73.04
